exchange,symbol,company
XNSE,SYMPHONY_UADJ,Symphony Ltd. (SYMPHONY) Unadjusted Stock Prices
XNSE,PREMIERPOL_UADJ,Premier Polyfilm Ltd. (PREMIERPOL) Unadjusted Stock Prices
XNSE,NIITTECH_UADJ,NIIT Technologies Ltd. (NIITTECH) Unadjusted Stock Prices
XNSE,MTNL,Mahanagar Telephone Nigam Ltd. (MTNL)
XNSE,JISLJALEQS,Jain Irrigation Systems Ltd. (JISLJALEQS)
XNSE,FELDVR_UADJ,Future Enterprises Ltd. (FELDVR) Unadjusted Stock Prices
XNSE,DAAWAT,LT Foods Ltd. (DAAWAT)
XNSE,COALINDIA,Coal India Limited (COALINDIA)
XNSE,BAJFINANCE_UADJ,Bajaj Finance Ltd (BAJFINANCE) Unadjusted Stock Prices
XNSE,Q1UPL,UPL Ltd (Q1UPL)
XNSE,SRIPIPES_UADJ,Srikalahasthi Pipes Ltd (SRIPIPES) Unadjusted Stock Prices
XNSE,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Ltd (SHREEPUSHK)
XNSE,KSBPUMPS,KSB Pumps Ltd. (KSBPUMPS)
XNSE,IIFL_UADJ,IIFL Holdings Ltd. (IIFL) Unadjusted Stock Prices
XNSE,HDFCNIFETF_UADJ,HDFC Asset Management Company Ltd. (HDFCNIFETF) Unadjusted Stock Prices
XNSE,EIHOTEL_UADJ,EIH Ltd. (EIHOTEL) Unadjusted Stock Prices
XNSE,BERGEPAINT,Berger Paints India Ltd. (BERGEPAINT)
XNSE,BANARISUG,Bannari Amman Sugars Ltd. (BANARISUG)
XNSE,IT3RDROCK_UADJ,3rd Rock Multimedia Ltd. (IT3RDROCK) Unadjusted Stock Prices
XNSE,TRIGYN,Trigyn Technologies Ltd. (TRIGYN)
XNSE,SWANENERGY,Swan Energy Ltd (SWANENERGY)
XNSE,SPECIALITY_UADJ,Speciality Restaurants Ltd (SPECIALITY) Unadjusted Stock Prices
XNSE,INDIANHUME_UADJ,Indian Hume Pipe Co. Ltd. (INDIANHUME) Unadjusted Stock Prices
XNSE,HDFCBANK,HDFC Bank Ltd. (HDFCBANK)
XNSE,GULPOLY_UADJ,Gulshan Polyols Ltd (GULPOLY) Unadjusted Stock Prices
XNSE,ADHUNIKIND,Adhunik Industries Ltd. (ADHUNIKIND)
XNSE,AVANTIFEED,Avanti Feeds Ltd. (AVANTIFEED)
XNSE,ATLASCYCLE_UADJ,Atlas Cycles(Haryana) Ltd. (ATLASCYCLE) Unadjusted Stock Prices
XNSE,ASHOKLEY,Ashok Leyland Ltd. (ASHOKLEY)
XNSE,DCW,DCW Ltd. (DCW)
XNSE,COLPAL_UADJ,Colgate-Palmolive (India) Ltd. (COLPAL) Unadjusted Stock Prices
XNSE,KALYANIFRG_UADJ,Kalyani Forge Ltd. (KALYANIFRG) Unadjusted Stock Prices
XNSE,IDFCBANK_UADJ,IDFC Bank Ltd (IDFCBANK) Unadjusted Stock Prices
XNSE,GUJGASLTD,Gujarat Gas Ltd (GUJGASLTD)
XNSE,GENUSPOWER_UADJ,Genus Power Infrastructures Ltd (GENUSPOWER) Unadjusted Stock Prices
XNSE,REGENCERAM_UADJ,Regency Ceramics Ltd. (REGENCERAM) Unadjusted Stock Prices
XNSE,PRESTIGE,Prestige Estates Projects Limited (PRESTIGE)
